login,id,url,contributions,commits,pull_requests,issues
zpao,8445,https://github.com/zpao,1778,1778,340,1
gaearon,810438,https://github.com/gaearon,1678,1678,1158,32
acdlite,3624098,https://github.com/acdlite,1402,1402,1149,17
sebmarkbage,63648,https://github.com/sebmarkbage,1387,1387,1043,32
sophiebits,6820,https://github.com/sophiebits,1287,1287,723,9
josephsavona,6425824,https://github.com/josephsavona,983,983,119,4
poteto,1390709,https://github.com/poteto,519,519,191,0
jimfb,9595985,https://github.com/jimfb,456,456,156,0
trueadm,1519870,https://github.com/trueadm,436,436,456,0
gsathya,565765,https://github.com/gsathya,381,381,23,0
bvaughn,29597,https://github.com/bvaughn,366,366,826,46
petehunt,239742,https://github.com/petehunt,332,332,57,0
kassens,11849,https://github.com/kassens,296,296,292,5
mofeiZ,34200447,https://github.com/mofeiZ,274,274,55,3
chenglou,1909539,https://github.com/chenglou,222,222,123,0
rickhanlonii,2440089,https://github.com/rickhanlonii,211,211,252,8
vjeux,197597,https://github.com/vjeux,207,207,115,0
gnoff,2716369,https://github.com/gnoff,205,205,254,0
eps1lon,12292047,https://github.com/eps1lon,202,202,272,27
yungsters,55161,https://github.com/yungsters,153,153,69,1
benjamn,5750,https://github.com/benjamn,140,140,50,0
hoxyq,28902667,https://github.com/hoxyq,127,127,145,10
lunaruan,2735514,https://github.com/lunaruan,124,125,150,5
subtleGradient,4117,https://github.com/subtleGradient,115,115,13,1
nhunzaker,590904,https://github.com/nhunzaker,94,94,108,2
necolas,239676,https://github.com/necolas,92,92,101,0
dependabot[bot],49699333,https://github.com/apps/dependabot,84,0,398,3
syranide,1714255,https://github.com/syranide,77,77,131,1
cpojer,13352,https://github.com/cpojer,72,72,42,0
flarnie,1114467,https://github.com/flarnie,67,68,121,0
koba04,250407,https://github.com/koba04,67,67,92,0
aweary,6886061,https://github.com/aweary,66,66,78,5
jackpope,8965173,https://github.com/jackpope,56,56,60,2
mondaychen,1001890,https://github.com/mondaychen,48,49,51,1
marocchino,128431,https://github.com/marocchino,45,45,15,0
mvitousek,1629813,https://github.com/mvitousek,44,44,52,8
